SIMULATED EQUIVALENT,"""OBSERVED VALUE""",,"""OBSERVATION NAME""",Well ID,Date,name,RMSE,Well Type,Pumping in Model Cell,Area in Model,Distance from Carmel River
53,51,-2.01,w1_10231990,1,10231990,Hernstadt,1.961266551,Abandoned,No,,
53,52,-1.84,w1_11261990,1,11261990,Hernstadt,,,,,
53,52,-1.86,w1_12191990,1,12191990,Hernstadt,,,,,
54,52,-1.92,w1_01041991,1,1041991,Hernstadt,,,,,
54,52,-1.93,w1_02051991,1,2051991,Hernstadt,,,,,
54,52,-1.49,w1_03051991,1,3051991,Hernstadt,,,,,
54,52,-1.34,w1_03221991,1,3221991,Hernstadt,,,,,
53,52,-1.11,w1_04021991,1,4021991,Hernstadt,,,,,
53,52,-1.14,w1_04091991,1,4091991,Hernstadt,,,,,
53,52,-1.14,w1_04181991,1,4181991,Hernstadt,,,,,
53,52,-1.05,w1_05031991,1,5031991,Hernstadt,,,,,
53,52,-1.40,w1_06061991,1,6061991,Hernstadt,,,,,
53,52,-1.62,w1_07051991,1,7051991,Hernstadt,,,,,
53,52,-1.59,w1_08081991,1,8081991,Hernstadt,,,,,
53,52,-1.63,w1_09041991,1,9041991,Hernstadt,,,,,
53,51,-1.94,w1_11151991,1,11151991,Hernstadt,,,,,
53,51,-2.09,w1_12091991,1,12091991,Hernstadt,,,,,
54,52,-1.91,w1_01061992,1,1061992,Hernstadt,,,,,
53,52,-1.64,w1_02051992,1,2051992,Hernstadt,,,,,
53,52,-0.96,w1_03021992,1,3021992,Hernstadt,,,,,
53,52,-0.75,w1_03131992,1,3131992,Hernstadt,,,,,
53,52,-1.63,w1_04021992,1,4021992,Hernstadt,,,,,
53,51,-1.97,w1_05081992,1,5081992,Hernstadt,,,,,
53,51,-2.02,w1_06091992,1,6091992,Hernstadt,,,,,
53,51,-2.02,w1_07071992,1,7071992,Hernstadt,,,,,
53,51,-1.98,w1_08101992,1,8101992,Hernstadt,,,,,
53,51,-1.96,w1_09101992,1,9101992,Hernstadt,,,,,
53,51,-1.93,w1_10191992,1,10191992,Hernstadt,,,,,
53,51,-1.98,w1_11121992,1,11121992,Hernstadt,,,,,
53,51,-2.03,w1_12021992,1,12021992,Hernstadt,,,,,
53,52,-1.45,w1_12311992,1,12311992,Hernstadt,,,,,
53,52,-1.23,w1_01251993,1,1251993,Hernstadt,,,,,
54,52,-1.42,w1_03031993,1,3031993,Hernstadt,,,,,
54,52,-1.48,w1_04021993,1,4021993,Hernstadt,,,,,
54,52,-1.66,w1_05041993,1,5041993,Hernstadt,,,,,
53,52,-1.63,w1_06091993,1,6091993,Hernstadt,,,,,
53,52,-1.66,w1_06291993,1,6291993,Hernstadt,,,,,
53,52,-1.67,w1_07281993,1,7281993,Hernstadt,,,,,
53,52,-1.67,w1_08301993,1,8301993,Hernstadt,,,,,
53,52,-1.67,w1_09291993,1,9291993,Hernstadt,,,,,
53,52,-1.71,w1_11021993,1,11021993,Hernstadt,,,,,
53,52,-1.76,w1_11291993,1,11291993,Hernstadt,,,,,
54,52,-1.88,w1_01061994,1,1061994,Hernstadt,,,,,
54,52,-1.90,w1_01201994,1,1201994,Hernstadt,,,,,
53,52,-0.78,w1_02231994,1,2231994,Hernstadt,,,,,
54,52,-2.00,w1_03231994,1,3231994,Hernstadt,,,,,
54,52,-1.95,w1_04271994,1,4271994,Hernstadt,,,,,
54,52,-1.95,w1_05281994,1,5281994,Hernstadt,,,,,
54,52,-1.93,w1_06291994,1,6291994,Hernstadt,,,,,
53,51,-2.03,w1_07271994,1,7271994,Hernstadt,,,,,
53,52,-1.78,w1_08301994,1,8301994,Hernstadt,,,,,
53,52,-1.75,w1_09281994,1,9281994,Hernstadt,,,,,
53,52,-1.75,w1_10241994,1,10241994,Hernstadt,,,,,
53,52,-1.70,w1_11291994,1,11291994,Hernstadt,,,,,
53,52,-1.53,w1_12291994,1,12291994,Hernstadt,,,,,
53,53,-0.43,w1_01251995,1,1251995,Hernstadt,,,,,
53,52,-1.52,w1_02271995,1,2271995,Hernstadt,,,,,
54,52,-1.46,w1_03161995,1,3161995,Hernstadt,,,,,
54,52,-1.58,w1_03291995,1,3291995,Hernstadt,,,,,
54,51,-2.21,w1_04261995,1,4261995,Hernstadt,,,,,
54,51,-2.25,w1_05301995,1,5301995,Hernstadt,,,,,
53,51,-2.21,w1_06301995,1,6301995,Hernstadt,,,,,
53,51,-2.23,w1_07281995,1,7281995,Hernstadt,,,,,
53,51,-2.24,w1_09051995,1,9051995,Hernstadt,,,,,
53,51,-2.26,w1_10051995,1,10051995,Hernstadt,,,,,
53,51,-2.32,w1_10311995,1,10311995,Hernstadt,,,,,
53,51,-2.45,w1_11271995,1,11271995,Hernstadt,,,,,
54,51,-2.52,w1_12261995,1,12261995,Hernstadt,,,,,
54,52,-2.11,w1_02071996,1,2071996,Hernstadt,,,,,
54,52,-1.97,w1_02281996,1,2281996,Hernstadt,,,,,
54,51,-2.23,w1_03291996,1,3291996,Hernstadt,,,,,
54,51,-2.27,w1_04291996,1,4291996,Hernstadt,,,,,
53,51,-2.20,w1_05291996,1,5291996,Hernstadt,,,,,
53,51,-2.22,w1_07011996,1,7011996,Hernstadt,,,,,
53,51,-2.20,w1_07251996,1,7251996,Hernstadt,,,,,
53,51,-2.18,w1_08291996,1,8291996,Hernstadt,,,,,
53,51,-2.20,w1_09271996,1,9271996,Hernstadt,,,,,
53,51,-2.23,w1_11011996,1,11011996,Hernstadt,,,,,
53,51,-2.30,w1_12031996,1,12031996,Hernstadt,,,,,
53,52,-1.93,w1_12271996,1,12271996,Hernstadt,,,,,
53,52,-0.93,w1_01311997,1,1311997,Hernstadt,,,,,
54,52,-1.95,w1_02271997,1,2271997,Hernstadt,,,,,
54,51,-2.25,w1_03281997,1,3281997,Hernstadt,,,,,
54,51,-2.42,w1_04281997,1,4281997,Hernstadt,,,,,
54,51,-2.46,w1_05291997,1,5291997,Hernstadt,,,,,
54,51,-2.35,w1_07091997,1,7091997,Hernstadt,,,,,
53,51,-2.21,w1_08051997,1,8051997,Hernstadt,,,,,
53,51,-2.18,w1_08271997,1,8271997,Hernstadt,,,,,
53,51,-2.14,w1_09301997,1,9301997,Hernstadt,,,,,
53,51,-2.19,w1_10301997,1,10301997,Hernstadt,,,,,
53,51,-2.16,w1_11241997,1,11241997,Hernstadt,,,,,
54,51,-2.04,w1_12301997,1,12301997,Hernstadt,,,,,
53,51,-2.24,w1_01281998,1,1281998,Hernstadt,,,,,
53,52,-1.55,w1_01291998,1,1291998,Hernstadt,,,,,
53,52,-0.99,w1_02261998,1,2261998,Hernstadt,,,,,
53,52,-1.64,w1_03311998,1,3311998,Hernstadt,,,,,
54,52,-1.88,w1_05121998,1,5121998,Hernstadt,,,,,
53,52,-1.89,w1_06011998,1,6011998,Hernstadt,,,,,
53,51,-1.94,w1_07011998,1,7011998,Hernstadt,,,,,
53,51,-1.85,w1_08041998,1,8041998,Hernstadt,,,,,
53,51,-1.68,w1_08281998,1,8281998,Hernstadt,,,,,
53,51,-1.56,w1_10281998,1,10281998,Hernstadt,,,,,
53,51,-1.74,w1_12021998,1,12021998,Hernstadt,,,,,
53,51,-1.88,w1_01041999,1,1041999,Hernstadt,,,,,
53,51,-1.94,w1_01291999,1,1291999,Hernstadt,,,,,
54,52,-2.08,w1_02241999,1,2241999,Hernstadt,,,,,
54,52,-2.02,w1_04021999,1,4021999,Hernstadt,,,,,
54,51,-2.15,w1_04301999,1,4301999,Hernstadt,,,,,
53,51,-2.08,w1_06021999,1,6021999,Hernstadt,,,,,
53,51,-2.08,w1_07011999,1,7011999,Hernstadt,,,,,
53,51,-2.04,w1_07271999,1,7271999,Hernstadt,,,,,
53,51,-2.05,w1_08311999,1,8311999,Hernstadt,,,,,
53,51,-2.03,w1_10081999,1,10081999,Hernstadt,,,,,
53,51,-2.07,w1_10281999,1,10281999,Hernstadt,,,,,
53,51,-2.12,w1_11301999,1,11301999,Hernstadt,,,,,
53,52,-1.83,w1_01052000,1,1052000,Hernstadt,,,,,
54,52,-2.03,w1_01312000,1,1312000,Hernstadt,,,,,
54,52,-1.90,w1_02252000,1,2252000,Hernstadt,,,,,
54,51,-2.30,w1_04032000,1,4032000,Hernstadt,,,,,
54,51,-2.33,w1_04252000,1,4252000,Hernstadt,,,,,
54,51,-2.26,w1_05312000,1,5312000,Hernstadt,,,,,
53,51,-2.24,w1_06282000,1,6282000,Hernstadt,,,,,
53,51,-2.21,w1_07312000,1,7312000,Hernstadt,,,,,
53,51,-2.20,w1_08292000,1,8292000,Hernstadt,,,,,
53,51,-2.18,w1_10032000,1,10032000,Hernstadt,,,,,
53,51,-2.18,w1_10312000,1,10312000,Hernstadt,,,,,
54,51,-2.36,w1_11302000,1,11302000,Hernstadt,,,,,
54,51,-2.36,w1_12202000,1,12202000,Hernstadt,,,,,
54,51,-2.31,w1_02022001,1,2022001,Hernstadt,,,,,
54,51,-2.23,w1_02282001,1,2282001,Hernstadt,,,,,
54,51,-2.23,w1_04052001,1,4052001,Hernstadt,,,,,
54,51,-2.17,w1_05012001,1,5012001,Hernstadt,,,,,
53,51,-2.23,w1_05242001,1,5242001,Hernstadt,,,,,
53,51,-2.19,w1_07092001,1,7092001,Hernstadt,,,,,
53,51,-2.24,w1_07232001,1,7232001,Hernstadt,,,,,
53,51,-2.20,w1_08302001,1,8302001,Hernstadt,,,,,
53,51,-2.19,w1_09272001,1,9272001,Hernstadt,,,,,
53,51,-2.33,w1_11082001,1,11082001,Hernstadt,,,,,
53,51,-2.20,w1_11302001,1,11302001,Hernstadt,,,,,
54,51,-2.33,w1_12202001,1,12202001,Hernstadt,,,,,
54,51,-2.35,w1_01302002,1,1302002,Hernstadt,,,,,
54,51,-2.39,w1_03042002,1,3042002,Hernstadt,,,,,
54,51,-2.32,w1_03262002,1,3262002,Hernstadt,,,,,
54,51,-2.39,w1_04262002,1,4262002,Hernstadt,,,,,
54,51,-2.38,w1_05282002,1,5282002,Hernstadt,,,,,
53,51,-2.32,w1_06252002,1,6252002,Hernstadt,,,,,
53,51,-2.26,w1_07292002,1,7292002,Hernstadt,,,,,
53,51,-2.24,w1_08282002,1,8282002,Hernstadt,,,,,
53,51,-2.24,w1_10022002,1,10022002,Hernstadt,,,,,
53,51,-2.14,w1_11072002,1,11072002,Hernstadt,,,,,
53,51,-2.18,w1_12022002,1,12022002,Hernstadt,,,,,
54,52,-1.97,w1_12302002,1,12302002,Hernstadt,,,,,
54,51,-2.23,w1_01302003,1,1302003,Hernstadt,,,,,
54,51,-2.40,w1_02242003,1,2242003,Hernstadt,,,,,
54,51,-2.38,w1_03262003,1,3262003,Hernstadt,,,,,
54,51,-2.14,w1_04292003,1,4292003,Hernstadt,,,,,
53,51,-2.15,w1_05272003,1,5272003,Hernstadt,,,,,
53,51,-2.16,w1_06262003,1,6262003,Hernstadt,,,,,
53,51,-1.97,w1_07292003,1,7292003,Hernstadt,,,,,
53,51,-2.17,w1_08282003,1,8282003,Hernstadt,,,,,
53,51,-2.12,w1_09262003,1,9262003,Hernstadt,,,,,
53,51,-2.24,w1_10252003,1,10252003,Hernstadt,,,,,
53,51,-2.28,w1_11262003,1,11262003,Hernstadt,,,,,
53,51,-2.26,w1_12222003,1,12222003,Hernstadt,,,,,
54,51,-2.41,w1_01262004,1,1262004,Hernstadt,,,,,
54,52,-2.28,w1_02232004,1,2232004,Hernstadt,,,,,
54,51,-2.50,w1_04012004,1,4012004,Hernstadt,,,,,
54,51,-2.59,w1_04302004,1,4302004,Hernstadt,,,,,
54,51,-2.45,w1_05272004,1,5272004,Hernstadt,,,,,
